src,gl,gb,nhi,signhi,thin,sigthin,nhicnm,signhicnm,nhiwnm,signhiwnm,rhi,sigrhi,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl,ew,sigew,taupeak
3C33,129.4481,-49.3244,2.78,0.04,2.8239,0.068,1.64,0.0232,1.14,0.0357,1.0,0.027615356806231,0.5899280575539568,0.0119035086230196,1.031714677810669,0.0263568316687607,0.5000597238540649,0.0245727925410008,"-80.0, 70.0, 0.0",0.2709233576099358,0.001907593785366183,0.02785846862840628
3C18,118.6218,-52.7266,5.99,0.95,5.1766,0.0315,5.24,0.945,0.75,0.0561,1.1571301626550246,0.1836531684848403,0.8747913188647747,0.2100902021493354,1.1724494695663452,0.03758915344125,0.6919697523117065,0.0323981676867362,"-70.0, 60.0, 0.0",3.2532091993217707,0.005508764691511054,0.7712103488151056
3C75-2,170.2958,-44.9192,8.23,0.21,7.7794,0.8588,2.14,0.1823,6.09,0.1052,1.0579222047972852,0.1198675255683807,0.2600243013365735,0.0231230145975578,1.1475368738174438,1.0837706391075337,0.4963074922561645,0.1684865139981884,"-20.0, 20.0, 0.0",2.614055773335422,0.03657873666707702,0.7414302733118211
3C75-1,170.2162,-44.9112,7.97,0.2,7.5283,0.9967,2.05,0.1777,5.92,0.0943,1.0586719445293094,0.142657070498694,0.2572145545796737,0.0232115918038755,1.0692342519760132,0.0090605047745227,0.5320019721984863,0.0590108035994588,"-60.0, 60.0, 0.0",2.444588272836307,0.06224097138511867,0.8573498797438056
3C33-1,129.4392,-49.3432,2.81,0.12,2.7894,0.8383,1.95,0.0886,0.86,0.0754,1.00738510073851,0.3057912697001603,0.693950177935943,0.0432710399916898,1.0368741750717163,0.016364666322334,0.4808098077774048,0.0133935480589373,"-70.0, 60.0, 0.0",0.37823254129638406,0.023290021306604944,0.04250257256745238
3C79,164.1487,-34.4565,9.37,1.03,8.623,0.6808,6.91,0.7731,2.46,0.6812,1.0866287834860258,0.1470644044269084,0.7374599786552829,0.1156684347736677,1.4578635692596436,0.1212001476516318,0.703782856464386,0.050862655958681,"-65.0, 65.0, 0.0",3.5485449616672056,0.03310529766634786,0.4077081217835844
3C78,174.8581,-44.513,10.06,0.46,9.0508,0.1794,5.81,0.4478,4.25,0.1151,1.111503955451452,0.0553940015916439,0.577534791252485,0.0517570355743339,1.144951581954956,0.045055198521582,0.5591739416122437,0.0392506683780457,"-65.0, 65.0, 0.0",3.9872609079767707,0.0056725673196331,1.1208578976154293
3C98-1,179.8593,-31.0859,10.37,0.34,9.7853,0.736,5.99,0.3181,4.38,0.1101,1.0597528946480943,0.086953067128655,0.5776277724204436,0.0360503572891336,1.2332861423492432,0.6163681321243177,0.6770956516265869,0.0927937769166189,"-50.0, 45.0, 0.0",3.1770671608707977,0.027870704174014063,0.6008469807492144
3C75,170.2558,-44.9111,7.89,0.18,7.4489,0.0798,2.49,0.1558,5.4,0.0809,1.0592167971109827,0.0266963096488622,0.3155893536121673,0.0210181193358345,1.121416091918945,0.5918701735409646,0.5240472555160522,0.0987164239742553,"-28.0, 28.0, 0.0",2.723342973841856,0.0022014974402167816,0.7100939696467837
3C310,38.5004,60.2098,3.71,0.1,3.4816,0.0582,1.11,0.0773,2.6,0.0557,1.0656020220588236,0.033797689111452,0.2991913746630728,0.0223418183929199,1.061811447143555,0.0795058330284535,0.3738303780555725,0.1044028495463077,"-40.0, 20.0, 0.0",1.5566164225411627,0.002075647071795691,0.6464792667716145
3C315,39.3605,58.303,4.77,0.38,4.1126,0.0432,2.22,0.2061,2.55,0.3217,1.1598502164081117,0.0931987402117241,0.4654088050314466,0.0569347507149713,1.1872611045837402,0.0806511189598626,0.5071673393249512,0.0974123595833916,"-30.0, 20.0, 0.0",2.5347693423379556,0.0013833220118011223,0.8287492870619658
3C109,181.828,-27.7769,20.82,1.0,13.9742,0.5894,15.51,0.7712,5.31,0.632,1.489888508823403,0.0952353779467358,0.7449567723342939,0.0515007359739344,1.5807393789291382,0.5105819746975632,0.7445943355560303,0.0390763073989842,"-30.0, 40.0, 0.0",11.722603778902888,0.017656391082047505,2.186536894631379
3C234,200.205,52.7049,1.61,0.04,1.6383,1.0084,0.0,0.0,1.61,0.0437,1.0,0.6053762114585254,0.0,0.0,1.0,0.0021263599395751,0.0020638201385736,0.0018913755358119,"-80.0, 60.0, 0.0",0.07793951928206917,0.037595350050239444,0.02744622530443087
3C236,190.064,53.9808,1.21,0.04,1.1817,1.0788,0.0,0.0,1.21,0.0386,1.023948548701024,0.9353978825041828,0.0,0.0,1.0,0.0021715591668958,0.0024228785187005,0.004396711768293,"-80.0, 65.0, 0.0",0.12011875550358539,0.0538900441709437,0.0436980012657301
3C237,232.1174,46.6276,2.2,0.08,1.9979,0.0974,1.55,0.0275,0.65,0.0743,1.101156214024726,0.0669715972147903,0.7045454545454545,0.0285065945108466,1.0047932863235474,0.0027970990562626,0.0806294009089469,0.0368046216283043,"-60.0, 60.0, 0.0",0.6461944047791455,0.004459438961495571,0.4023868508073369
3C228.0,220.8313,46.6355,2.61,0.04,2.6652,0.158,0.37,0.0215,2.24,0.0369,1.0,0.0599633655494597,0.1417624521072797,0.0085192374167611,1.0091453790664673,0.0033332422306742,0.1473617553710937,0.0405929216257126,"-55.0, 40.0, 0.0",0.35740312803882723,0.0072684068693022056,0.09093506459396528
NRAO140,159.0002,-18.7646,29.49,18.23,10.976,0.8558,13.42,6.3833,16.07,17.0799,2.6867711370262386,1.6740556596399794,0.455069515089861,0.3549511641802564,1.4325237274169922,0.9604814171996868,0.7667450308799744,0.1089285748121933,"-15.0, 15.0, 0.0",17.017277931233767,0.030245271443404595,6.907755278982137
3C318,29.9821,54.7856,4.75,0.15,4.2153,0.0562,1.75,0.1441,3.0,0.0483,1.1268474367186203,0.0386260946303487,0.3684210526315789,0.0324912613833702,1.1248011589050293,0.1466727832550794,0.5557821989059448,0.1145970563071087,"-40.0, 20.0, 0.0",2.097165432439721,0.0030332327006658134,0.7161149315796909
3C64,157.7658,-48.2032,6.33,0.18,6.0738,0.7347,2.91,0.159,3.42,0.076,1.0421811715894498,0.1295010340951679,0.4597156398104265,0.0283165677922668,1.2449010610580444,0.1388222347458454,0.5633437037467957,0.0942602919300155,"-40.0, 20.0, 0.0",2.0215847400970954,0.045497621780141995,0.3740056860049132
3C454.0,88.1001,-35.9413,5.38,0.11,5.2829,0.0967,1.25,0.0488,4.13,0.0981,1.018380056408412,0.0279469121455003,0.2323420074349442,0.0102393111299253,1.0169715881347656,0.0069438618801164,0.2005175501108169,0.099479395964776,"-80.0, 40.0, 0.0",0.7936247814236139,0.004744694142578976,0.11000684872042273
3C454.3,86.111,-38.1833,6.53,0.13,6.3745,0.0898,1.73,0.0577,4.8,0.1147,1.0243940701231469,0.0249831916681247,0.2649310872894334,0.0102905492527009,1.0162594318389893,0.017399346836526,0.2532007098197937,0.1273338782283187,"-70.0, 30.0, 0.0",1.742848727508456,0.0017259453511527139,0.29221231853831264
3C33-2,129.462,-49.2774,2.92,0.15,2.8762,1.0015,1.9,0.1174,1.02,0.0973,1.015228426395939,0.3573313273347843,0.6506849315068493,0.0522852850458545,1.0362004041671753,0.0179570185824638,0.4614422023296356,0.050665791229585,"-60.0, 55.0, 0.0",0.5599578170804685,0.035516995219352906,0.11080642887179187
P0820+22,201.3636,29.6761,4.23,0.21,4.2229,0.9384,0.0,0.0,4.23,0.2114,1.0016813090530206,0.2280778894569144,0.0,0.0,1.002438187599182,0.0015055424200865,0.0831437185406684,0.0167177574532242,"-60.0, 60.0, 0.0",0.45444318447496007,0.05896411363446558,0.05372466883694932
3C333,37.3001,42.9721,5.09,0.33,4.5142,0.043,1.1,0.3239,3.99,0.0814,1.127553054804838,0.0738874577801094,0.2161100196463654,0.065158800864283,1.073094129562378,0.2146968311852402,0.3978056907653808,0.077814061365424,"-60.0, 25.0, 0.0",2.3188857193746206,0.0036874477688749628,1.051549329544621
3C192,197.9126,26.4098,3.97,0.04,3.9596,0.0641,0.47,0.0285,3.5,0.0328,1.0026265279321145,0.0191179795617083,0.1183879093198992,0.00727726560646,1.009277105331421,0.0030416077304604,0.1450655907392501,0.0855715002112681,"-40.0, 33.0, 0.0",0.516343620465396,0.0064183789251831295,0.08113088285478473
3C98,179.8374,-31.049,11.02,0.41,9.9114,1.1649,6.1,0.3974,4.92,0.0959,1.1118509998587485,0.1370684170301238,0.5535390199637024,0.0415280460005763,1.5239176750183103,0.2934590720558532,0.7052422761917114,0.0934996182593772,"-30.0, 44.0, 0.0",4.091820008916661,0.026930177709719345,0.8205760884217349
3C273,289.9484,64.3586,1.93,0.02,2.0302,0.1078,0.5,0.014,1.43,0.0141,1.0,0.0514298738871093,0.2590673575129534,0.007734735405073,1.0155870914459229,0.0078479721283178,0.2124860882759094,0.0307547907085659,"-70.0, 55.0, 0.0",0.2024837636856934,0.0011109542401832142,0.025184483539055332
3C267.0,256.3418,70.1102,2.33,0.03,2.3236,0.3146,0.0,0.0,2.33,0.027,1.0027543467033917,0.1363787940113627,0.0,0.0,1.0,0.0021263599395751,0.0565410628914833,0.056541056155569,"-60.0, 40.0, 0.0",0.1857200999058689,0.028847231543522124,0.021241001260208132
DW0742+10,209.796,16.5911,2.43,0.04,2.4383,0.7975,0.0,0.0,2.43,0.0435,1.0,0.3263713348639639,0.0,0.0,1.005315899848938,0.0104678044573733,0.0057675931602716,0.076450501554054,"-30.0, 50.0, 0.0",0.15662387332886027,0.029285655337616005,0.02664894997105449
P1055+20,222.5101,63.1302,1.57,0.04,1.5733,0.0607,0.36,0.0267,1.21,0.0234,1.0,0.0461375583337249,0.2292993630573248,0.0179818192070729,1.0105257034301758,0.0136137051061232,0.1879984140396118,0.0755131091812593,"-65.0, 45.0, 0.0",0.30239628554961956,0.003397557879593953,0.08298929460003808
3C433,74.4772,-17.695,7.89,0.15,7.7887,0.0794,2.83,0.1323,5.06,0.0658,1.0130060215440315,0.0218526893316602,0.358681875792142,0.0181015818959616,1.068045139312744,0.1340705233148666,0.5288503170013428,0.088848219604603,"-45.0, 35.0, 0.0",1.8657419227057317,0.0017151543513069137,0.39180927487904943
P0428+20,176.8082,-18.5568,23.89,2.47,17.6561,0.5939,6.9,2.381,16.99,0.6485,1.3530734420398618,0.1471124907328874,0.2888237756383424,0.1040425702132897,1.4348576068878174,0.8363004968009533,0.7777950763702393,0.1092837454796374,"-50.0, 30.0, 0.0",13.554799351130985,0.024237784169066568,3.897430003125246
4C19.44,8.9924,73.0418,2.65,0.04,2.6324,0.5363,0.0,0.0,2.65,0.0449,1.0066859139948336,0.205654696469128,0.0,0.0,1.013706922531128,0.0149710789118236,0.0816649794578552,0.1596012077074056,"-20.0, 10.0, 0.0",0.3803057263376045,0.01865997639982078,0.03322695168322469
3C353,21.1108,19.877,10.85,0.79,8.8309,0.2239,7.01,0.7826,3.84,0.0867,1.2286403424339536,0.0947271630883833,0.6460829493087558,0.0861135621372055,1.4421625137329102,0.2548268687947135,0.707878828048706,0.0778731513901034,"-50.0, 40.0, 0.0",6.549915382017717,0.004601555239153664,1.4346572165986864
3C293,54.6071,76.0603,1.28,0.05,1.2956,0.9682,0.0,0.0,1.28,0.0457,1.0,0.7393084605726996,0.0,0.0,1.0000523328781128,0.0022552069663326,0.0011000037193298,0.014720698053088,"-60.0, 35.0, 0.0",0.0022613704330042127,0.02920901061470011,0.029200206544667325
3C98-2,179.8288,-31.0241,10.25,0.4,9.5056,1.0454,5.06,0.3809,5.19,0.1236,1.0783117320316449,0.1258344255203962,0.4936585365853658,0.041857707475876,1.4577653408050537,0.55639140969222,0.6848922967910767,0.0380652524906238,"-30.0, 35.0, 0.0",2.985170251090916,0.020635571365934358,0.6399173624454209
3C105,187.6326,-33.609,14.68,1.47,9.5264,0.6114,11.42,1.4534,3.26,0.2104,1.5409808532079272,0.1832813908318643,0.7779291553133515,0.1259774493191374,1.4993255138397217,0.7750762183461074,0.7485156059265137,0.0500288301097729,"-20.0, 30.0, 0.0",11.983191366844746,0.0187565763377022,3.1377337217513634
3C120,190.3728,-27.3973,15.94,1.87,9.4217,0.0864,7.9,1.4514,8.04,1.1814,1.69183905240031,0.1990834379770084,0.4956085319949812,0.1080340087276112,1.4753801822662354,0.6842638983565836,0.711839497089386,0.0522046068991872,"-50.0, 40.0, 0.0",10.349357519081552,0.0025488926048024183,2.086522552970388
CTA21,166.6357,-33.5961,9.56,0.31,8.8116,0.6781,3.13,0.3008,6.43,0.0862,1.0849334967542783,0.0906008858499904,0.3274058577405857,0.0332073088642694,1.4149928092956543,0.2660049970780958,0.666870653629303,0.0954612655150088,"-35.0, 33.0, 0.0",2.6338177292733977,0.013061391021348664,0.46423470155411956
4C20.33,20.1848,66.8341,2.69,0.05,2.6865,0.2204,0.53,0.0292,2.16,0.0394,1.0013028103480364,0.0842286941756075,0.1970260223048327,0.0114561377172996,1.0410407781600952,0.0407355054236899,0.1900589913129806,0.1632016492089263,"-90, 35.0, 0.0",0.5365687832980611,0.022417914423878627,0.06329342991877718
P1117+14,240.438,65.7884,1.57,0.02,1.5417,0.2614,0.0,0.0,1.57,0.0177,1.0183563598624894,0.1731521143135334,0.0,0.0,1.0,0.0028894959612329,0.0034725703299045,0.0047249039868365,"-90, 35.0, 0.0",0.26187946666039946,0.03087611411897433,0.02062422471492519
3C264.0,236.9959,73.6422,1.73,0.03,1.7598,0.3485,0.0,0.0,1.73,0.0252,1.0,0.1954253738913567,0.0,0.0,1.0,0.0025801732477897,0.0034725703299045,0.0644609959803704,"-80, 30.0, 0.0",0.2876095565086214,0.019999611158253734,0.015367477131121778
3C208.1,213.6015,33.583,2.76,0.05,2.7851,0.1598,0.0,0.0,2.76,0.0522,1.0,0.0596265017983356,0.0,0.0,1.0032215118408203,0.0073189541129701,0.0335744097828865,0.037782695499949,"-50, 30.0, 0.0",0.32631333168524923,0.009200652799175037,0.06916145712528307
3C208.0,213.6628,33.1608,2.99,0.04,3.0476,0.1619,0.0,0.0,2.99,0.0448,1.0,0.0537469385976801,0.0,0.0,1.0155624151229858,0.0095899836473037,0.0527108907699584,0.0424549853328993,"-50, 30.0, 0.0",0.2871698551284933,0.00790242169441987,0.0988384970012154
4C32.44,67.2401,81.0438,1.05,0.03,1.128,0.521,0.14,0.017,0.91,0.0273,1.0,0.4307627697112015,0.1333333333333333,0.0166326182824504,1.0019636154174805,0.0033763177790695,0.0182852074503898,0.0159205373183389,"-40, 15.0, 0.0",0.06424693918628126,0.011908124159080895,0.023915714453896057
3C263.1,228.2701,74.3753,1.68,0.05,1.6732,0.3024,0.0,0.0,1.68,0.0462,1.0040640688501077,0.1839100544900392,0.0,0.0,1.0,0.0042886478268711,0.0011349394917488,0.0991380724850054,"-90, 30.0, 0.0",0.18637200850696875,0.024823953841857368,0.019306170551225663
3C225b,220.0116,44.0083,3.28,0.06,3.2582,0.0506,0.86,0.0459,2.42,0.0434,1.0066908108771715,0.0241564813937769,0.2621951219512195,0.0147930166272647,1.0179550647735596,0.0177531106150622,0.2474950551986694,0.0623657230204141,"-55, 40.0, 0.0",1.4702717281061715,0.0030481080430824156,0.7473140734639401
P0347+05,182.2737,-35.7311,13.45,0.76,11.3822,0.6992,7.27,0.7487,6.18,0.1424,1.1816696245014144,0.0986282433094106,0.5405204460966543,0.0634939303712137,1.4636309146881104,0.893315464203383,0.7189921140670776,0.1027765790410476,"-38.0, 35.0, 0.0",5.128650501907951,0.036656134912989094,1.2879052896071823
3C272.1,280.6321,74.6873,2.39,0.03,2.426,0.3032,0.36,0.0218,2.03,0.0248,1.0,0.1237442235792657,0.1506276150627614,0.0093152379344367,1.0122482776641846,0.0048373393698113,0.1752015501260757,0.0780618547233693,"-80.0, 40.0, 0.0",0.21034692949825776,0.015145705019683988,0.03583341652550775
3C225a,219.8664,44.0247,3.4,0.14,3.3469,0.0392,1.51,0.1353,1.89,0.0228,1.0158654277092234,0.0434890129573984,0.4441176470588235,0.0437949013231443,1.0258266925811768,0.0167451171154175,0.3022903800010681,0.0361821532987945,"-80.0, 60.0, 0.0",0.5836997196614323,0.01092903194220435,0.3223370113005984
4C07.32,322.2286,68.835,2.11,0.03,2.0761,0.2568,0.32,0.0219,1.79,0.0244,1.01632869322287,0.1265409822998354,0.1516587677725118,0.0106007669164339,1.0096505880355835,0.0061451228587782,0.1919722259044647,0.0990441644970629,"-45.0, 20.0, 0.0",0.49276130584330824,0.03726592588234902,0.18083745861266218
3C245,233.1247,56.3009,2.03,0.03,2.1298,0.1329,0.48,0.0262,1.55,0.0225,1.0,0.061121449381126,0.2364532019704433,0.0133710871027696,1.0081665515899658,0.002505763615297,0.1866694688796997,0.03305618204882,"-60.0, 50.0, 0.0",0.07946577313655959,0.005196891863926068,0.011066002983933648
3C93.1,160.0361,-15.9147,12.32,1.04,9.6239,0.8153,3.5,0.9868,8.82,0.337,1.2801463024345638,0.1530983329533898,0.284090909090909,0.0836105007962704,1.075282096862793,0.4898117402733339,0.4349147081375122,0.1512807250095346,"-55.0, 25.0, 0.0",6.090959175402737,0.0638469912801692,1.7886184075314973
3C348,22.971,29.1769,5.69,0.16,5.2943,0.0605,1.55,0.152,4.14,0.0467,1.074740758929415,0.0326213800850219,0.2724077328646748,0.0277900698300848,1.0969527959823608,0.046542882345783,0.3924746513366699,0.0580352789148111,"-45.0, 38.0, 0.0",2.1596977672155138,0.002021152788917717,0.6105999195923799
3C286,56.5295,80.674,2.04,0.09,2.1072,2.337,0.0,0.0,2.04,0.0917,1.0,1.0745353532525332,0.0,0.0,1.0,0.002064409435267,0.0011000037193298,0.0523659278487978,"-70.0, 50.0, 0.0",1.3342522746504948,0.04487209159955544,0.018904570669773618
4C13.65,39.3151,17.718,9.16,0.14,8.6619,0.1212,1.45,0.1214,7.71,0.0613,1.057504704510558,0.0219130852605467,0.158296943231441,0.0134722948222568,1.0920217037200928,0.0669821703062745,0.4105263948440552,0.0720791622776514,"-70.0, 50.0, 0.0",2.894522144160459,0.008172136555008036,0.7247389879567429
3C190.0,207.6242,21.8412,2.82,0.04,2.941,0.8069,0.0,0.0,2.82,0.0411,1.0,0.2634258557530828,0.0,0.0,1.005315899848938,0.007794187562766,0.0130278561264276,0.0308465028834321,"-35.0, 55.0, 0.0",0.017910257810267248,0.03552220524171693,0.04714506808233699
P0320+05,176.9818,-40.8433,11.2,0.48,9.9975,0.7438,5.05,0.3183,6.15,0.361,1.1202800700175042,0.096186899243371,0.4508928571428571,0.0343670232547608,1.2805802822113037,0.1323214835097859,0.6096200346946716,0.0879701608186533,"-50.0, 33.0, 0.0",5.57640247656324,0.028833441374153407,0.5856156233193279
3C274.1,269.8744,83.1637,2.36,0.04,2.286,0.1201,0.3,0.0193,2.06,0.0293,1.032370953630796,0.0569905174453369,0.1271186440677966,0.0084570224923928,1.013349533081055,0.0263403809320603,0.1586483120918274,0.1740689798479282,"-50.0, 25.0, 0.0",0.474076366106662,0.00715397607651773,0.10941539223605062
3C207,212.968,30.139,5.25,0.15,4.9461,0.0969,0.91,0.1267,4.34,0.087,1.0614423485170132,0.0367716074428362,0.1733333333333333,0.0246362305330032,1.0181022882461548,0.0164379075505681,0.218569815158844,0.0680504881335544,"-36.0, 33.0, 0.0",2.2095763564451456,0.004199581997088096,0.2961820955099114
3C223,188.4047,48.659,1.0421,1.2825,1.0421,1.2825,0.0,0.0,1.0421,1.2825,1.0,1.7404557084190524,0.0,0.0,1.0,0.0259546731439492,0.0011000037193298,0.2005240656481304,"-40.0, 60.0, 0.0",0.16794045790141954,0.11314860196297707,0.11987422066039599
